,Sample,DateTime,Location,depth,Salinity,In Situ Temperature,DIC (umol/kg),TA (umol/kg),pH (Total),pH (NBS),pH at 12.5°C (Total)
72,NB16,2023-05-22 11:30:00,PLT,surface,28.45,14.9103,1820.991171696889,1950.3466245235693,7.96355021370126,8.087835893927547,8.00195638995727
73,NB365,2023-06-05 11:30:00,PLT,bottom,28.65,16.2804,1874.0758602504336,1968.143078876234,7.827800018735176,7.954305130522635,7.8862551589452
74,NB230,2023-05-22 11:30:00,PLT,bottom,29.22,12.11,1910.643198120406,2017.0599633923296,7.920089506069339,8.038278374145058,7.91384504457969
75,NB366,2023-06-05 11:30:00,PLT,surface,28.82,16.2804,1863.5459456883823,1963.4308933875247,7.844969715796329,7.971262680443922,7.903644550091093
76,NB354,2023-06-19 11:30:00,PLT,surface,29.74,18.73,1893.7450016365033,2009.3233929794883,7.840138561186251,7.9698681868858685,7.936056775157752
77,NB225,2023-06-12 11:30:00,PLT,bottom,30.54,15.88,1957.9754466026138,2072.820039628785,7.863815489858777,7.987147558597033,7.916711218486827
78,NB91,2023-05-29 11:30:00,PLT,bottom,29.08,16.8004,1861.818239014336,2005.3579236983658,7.958762498886804,8.085685110662398,8.026833887720453
79,GB172,2023-05-24 17:05:00,PLT,surface,26.85,16.9468,1658.2475411394144,1882.6933716017368,8.208848061976703,8.3387020709327,8.281224625918291
80,NB97,2023-05-29 11:30:00,PLT,bottom,29.73,16.8004,1934.8200949556908,2033.6232147463993,7.81510651224871,7.941219338456511,7.881428989889276
81,NB102 ,2023-06-12 11:30:00,PLT,surface,29.89,17.12,1906.669860712681,2034.9528776088416,7.896525117544785,8.023037346340864,7.968872110881988
82,NB249,2023-06-26 11:30:00,PLT,surface,30.09,20.43,1891.888592672414,2022.0257248224063,7.851332944531414,7.9839102148874606,7.973038271812506
84,NB355,2023-06-19 11:30:00,PLT,bottom,30.24,16.27,1954.0937847622488,2052.090003574044,7.81238278165809,7.936847218439076,7.870639609520032
101,NB380,2023-07-17 11:30:00,PLT,surface,27.89,24.0,1841.6490348504374,1918.3386137848868,7.674169903440683,7.815651212036489,7.840428377140548
222,NB 391,2023-07-28 11:30:00,PLT,bottom,29.65,24.7,1951.5936191902083,2007.1379744286498,7.565603247144962,7.706883809789014,7.735694190130091
21,GB B 9/9/22,2022-09-09 15:30:00,GB,surface,29.08,22.4851,1846.8999331621105,1919.731460510342,7.666026565041769,7.803572404289601,7.810971810983663
22,GB A 9/9/22,2022-09-09 15:30:00,GB,surface,29.02,22.4851,1846.7846573557697,1917.8252575876638,7.660693540988014,7.798297423879752,7.805370597007269
25,GB B 9/20/22,2022-09-20 15:30:00,GB,surface,30.11,21.8375,1900.0051952853564,2010.1195044707824,7.774055435656594,7.909332218390306,7.9143451026137335
28,GB A 10/25/22,2022-10-25 15:30:00,GB,surface,29.41,15.9951,1893.4184983112616,2006.880538530925,7.879511989201603,8.004533701001419,7.934254127513505
29,GB B 10/25/22,2022-10-25 15:30:00,GB,surface,29.33,15.9951,1892.45113024361,2003.1404378327,7.872497094271354,7.997621340726272,7.927159373243074
32,GB A 11/9/22,2022-11-09 16:30:00,GB,surface,29.93,14.4616,1924.934977281787,2038.1549818575504,7.892326803674746,8.013817425263227,7.9233225208853115
33,GB B 11/9/22,2022-11-09 16:30:00,GB,surface,29.97,14.4616,1924.2906986752066,2038.893919704876,7.8958962631108,8.017332018658749,7.92691324086055
45,GB246,2023-02-01 16:30:00,GB,surface,22.39,4.9388,1539.1309047524428,1617.1232300216384,8.082050626407192,8.198400583029464,7.955344911338568
46,GB169,2023-02-01 16:30:00,GB,surface,22.39,4.9388,1536.0764871064969,1627.197152816229,8.134498560323221,8.250848516945494,8.006814514923853
56,GB221,2023-03-22 14:15:00,GB,surface,28.62,6.7424,1853.0267648730467,1992.2710404296163,8.119862052524951,8.229496270764766,8.022917928737764
57,GB196,2023-03-22 14:15:00,GB,surface,28.47,6.7424,1853.7209089347225,1987.2061147338968,8.105952342287887,8.215833881800176,8.009174769211283
83,GB152,2023-05-24 17:05:00,GB,surface,26.9,16.9468,1655.0443352730324,1882.3051783552796,8.214404759981248,8.344200793926888,8.286816704192328
